"","min_2","max_other","target_score","gene","rank"
"SMARCE1",3.37,3.36,0.0100000000000002,"SMARCE1",280
"BCL2L13",2.02,2.01,0.0100000000000002,"BCL2L13",281
"RANBP9",1.42,1.41,0.01,"RANBP9",282
"HIST1H2AL",0.14,0.13,0.01,"HIST1H2AL",283
"APAF1",1.39,1.38,0.01,"APAF1",284
"RITA1",1.74,1.73,0.01,"RITA1",285
"ZCCHC8",1.98,1.97,0.01,"ZCCHC8",286
"HAUS2",1.65,1.64,0.01,"HAUS2",287
"EFCAB6",0.05,0.04,0.01,"EFCAB6",288
"CAMKV",0.01,0,0.01,"CAMKV",289
"ABCA13",0.02,0.01,0.01,"ABCA13",290
"INA",0.01,0,0.01,"INA",291
"MARVELD3",0.24,0.23,0.00999999999999998,"MARVELD3",292
"PYCR2",3.09,3.08,0.00999999999999979,"PYCR2",293
"ZC3H15",4.02,4.01,0.00999999999999979,"ZC3H15",294
"SP100",5.38,5.37,0.00999999999999979,"SP100",295
"CAB39",2.34,2.33,0.00999999999999979,"CAB39",296
"GPRIN3",3.17,3.16,0.00999999999999979,"GPRIN3",297
"NOC4L",2.01,2,0.00999999999999979,"NOC4L",298
"SIRT7",3.3,3.29,0.00999999999999979,"SIRT7",299
"PERM1",0,0,0,"PERM1",300
"CORT",0.02,0.02,0,"CORT",301
"NPPA",0,0,0,"NPPA",302
"AADACL4",0,0,0,"AADACL4",303
"HNRNPCL1",0,0,0,"HNRNPCL1",304
"HNRNPCL3",0,0,0,"HNRNPCL3",305
"HSPB7",0,0,0,"HSPB7",306
"CLCNKB",0,0,0,"CLCNKB",307
"PADI1",0,0,0,"PADI1",308
"PADI6",0,0,0,"PADI6",309
"VWA5B1",0,0,0,"VWA5B1",310
"CELA3B",0,0,0,"CELA3B",311
"C1orf234",0,0,0,"C1orf234",312
"OPRD1",0,0,0,"OPRD1",313
"CSMD2",0,0,0,"CSMD2",314
"RSPO1",0,0,0,"RSPO1",315
"KCNQ4",0,0,0,"KCNQ4",316
"CLDN19",0,0,0,"CLDN19",317
"KLF17",0,0,0,"KLF17",318
"TEX38",0,0,0,"TEX38",319
"FOXE3",0,0,0,"FOXE3",320
"DMRTB1",0,0,0,"DMRTB1",321
"C8A",0,0,0,"C8A",322
"RPE65",0,0,0,"RPE65",323
"RP5.1052I5.2",0,0,0,"RP5.1052I5.2",324
"OLFM3",0,0,0,"OLFM3",325
"FNDC7",0,0,0,"FNDC7",326
"CASQ2",0,0,0,"CASQ2",327
"MAB21L3",0,0,0,"MAB21L3",328
"HSD3B2",0,0,0,"HSD3B2",329
"RBM8A",5.07,5.07,0,"RBM8A",330
"THEM5",0,0,0,"THEM5",331
"PGLYRP3",0,0,0,"PGLYRP3",332
"S100A7A",0,0,0,"S100A7A",333
"HAPLN2",0,0,0,"HAPLN2",334
"ETV3L",0,0,0,"ETV3L",335
"CASQ1",0,0,0,"CASQ1",336
"APOA2",0,0,0,"APOA2",337
"DUSP27",0,0,0,"DUSP27",338
"METTL11B",0,0,0,"METTL11B",339
"MROH9",0,0,0,"MROH9",340
"MYOC",0,0,0,"MYOC",341
"TNN",0,0,0,"TNN",342
"PAPPA2",0,0,0,"PAPPA2",343
"BRINP2",0,0,0,"BRINP2",344
"BRINP3",0,0,0,"BRINP3",345
"LHX9",0,0,0,"LHX9",346
"IGFN1",0,0,0,"IGFN1",347
"WNT3A",0,0,0,"WNT3A",348
"FMN2",0,0,0,"FMN2",349
"MAP1LC3C",0,0,0,"MAP1LC3C",350
"C1orf100",0,0,0,"C1orf100",351
"LYPD8",0,0,0,"LYPD8",352
"APOB",0,0,0,"APOB",353
"RP11.507M3.1",0,0,0,"RP11.507M3.1",354
"OTOF",0.5,0.5,0,"OTOF",355
"CIB4",0,0,0,"CIB4",356
"STON1.GTF2A1L",0,0,0,"STON1.GTF2A1L",357
"LRRTM4",0,0,0,"LRRTM4",358
"REG1A",0,0,0,"REG1A",359
"PLGLB1",0,0,0,"PLGLB1",360
"PLGLB2",0,0,0,"PLGLB2",361
"FER1L5",0,0,0,"FER1L5",362
"RGPD4",0,0,0,"RGPD4",363
"RGPD6",0,0,0,"RGPD6",364
"C1QL2",0,0,0,"C1QL2",365
"GALNT13",0,0,0,"GALNT13",366
"UPP2",0,0,0,"UPP2",367
"LRP2",0,0,0,"LRP2",368
"KLHL41",0,0,0,"KLHL41",369
"HSPE1.MOB4",0,0,0,"HSPE1.MOB4",370
"BOLL",0,0,0,"BOLL",371
"PRKAG3",0,0,0,"PRKAG3",372
"MFF",3.13,3.13,0,"MFF",373
"TM4SF20",0,0,0,"TM4SF20",374
"C2orf83",0,0,0,"C2orf83",375
"ALPP",0,0,0,"ALPP",376
"PRSS56",0,0,0,"PRSS56",377
"UGT1A7",0,0,0,"UGT1A7",378
"UGT1A6",0,0,0,"UGT1A6",379
"GAL3ST2",0,0,0,"GAL3ST2",380
"AC131097.4",0,0,0,"AC131097.4",381
"CNTN6",0,0,0,"CNTN6",382
"GPR62",0,0,0,"GPR62",383
"RP5.966M1.6",0,0,0,"RP5.966M1.6",384
"PPP4R2",3.1,3.1,0,"PPP4R2",385
"GABRR3",0,0,0,"GABRR3",386
"ROPN1B",0,0,0,"ROPN1B",387
