"","min_2","max_other","target_score","gene","rank"
"NEU4",0.36,0.41,-0.05,"NEU4",197
"LMNTD1",0,0.05,-0.05,"LMNTD1",198
"MUC6",0,0.05,-0.05,"MUC6",199
"PENK",0,0.05,-0.05,"PENK",200
"SFRP5",0,0.05,-0.05,"SFRP5",201
"TBX10",0,0.05,-0.05,"TBX10",202
"CCNA2",1.39,1.44,-0.05,"CCNA2",203
"WDR20",1.94,1.99,-0.05,"WDR20",204
"DCUN1D5",2.11,2.16,-0.0500000000000003,"DCUN1D5",205
"COX6A1",5.02,5.07,-0.0500000000000007,"COX6A1",206
"ACTN4",5.83,5.89,-0.0599999999999996,"ACTN4",207
"SON",5.16,5.22,-0.0599999999999996,"SON",208
"SUB1",5.16,5.22,-0.0599999999999996,"SUB1",209
"UBL5",5.24,5.3,-0.0599999999999996,"UBL5",210
"CDCA8",0.45,0.51,-0.06,"CDCA8",211
"CDH6",0,0.06,-0.06,"CDH6",212
"CNTN3",0,0.06,-0.06,"CNTN3",213
"DLL4",0,0.06,-0.06,"DLL4",214
"EIF3C",0.3,0.36,-0.06,"EIF3C",215
"F10",0,0.06,-0.06,"F10",216
"FZD10",0,0.06,-0.06,"FZD10",217
"GALNT5",0,0.06,-0.06,"GALNT5",218
"GPR173",0,0.06,-0.06,"GPR173",219
"GPR176",0,0.06,-0.06,"GPR176",220
"MARK1",0,0.06,-0.06,"MARK1",221
"NOG",0,0.06,-0.06,"NOG",222
"NR2E3",0,0.06,-0.06,"NR2E3",223
"STRA6",0,0.06,-0.06,"STRA6",224
"TIAF1",0.12,0.18,-0.06,"TIAF1",225
"TMIE",0,0.06,-0.06,"TMIE",226
"DPH3",2.31,2.37,-0.0600000000000001,"DPH3",227
"JAKMIP1",2.27,2.33,-0.0600000000000001,"JAKMIP1",228
"LSM8",3.87,3.93,-0.0600000000000001,"LSM8",229
"PCED1B",3.29,3.35,-0.0600000000000001,"PCED1B",230
"PSMC5",3.75,3.81,-0.0600000000000001,"PSMC5",231
"SNRNP40",2.04,2.1,-0.0600000000000001,"SNRNP40",232
"CHST11",4.09,4.15,-0.0600000000000005,"CHST11",233
"CHMP4A",4.4,4.47,-0.0699999999999994,"CHMP4A",234
"CSK",4.95,5.02,-0.0699999999999994,"CSK",235
"ASF1A",2.75,2.82,-0.0699999999999998,"ASF1A",236
"COA5",2.68,2.75,-0.0699999999999998,"COA5",237
"GATSL3",1.58,1.65,-0.0699999999999998,"GATSL3",238
"XPO1",3.79,3.86,-0.0699999999999998,"XPO1",239
"ADAMTS8",0,0.07,-0.07,"ADAMTS8",240
"B3GNT3",0,0.07,-0.07,"B3GNT3",241
"CBX2",0.25,0.32,-0.07,"CBX2",242
"CDH22",0,0.07,-0.07,"CDH22",243
"EBF2",0,0.07,-0.07,"EBF2",244
"FAM124A",0,0.07,-0.07,"FAM124A",245
"HSPA12A",0,0.07,-0.07,"HSPA12A",246
"KCNK1",0,0.07,-0.07,"KCNK1",247
"LDB3",0,0.07,-0.07,"LDB3",248
"PLA2G2A",0,0.07,-0.07,"PLA2G2A",249
"PTPRN",0,0.07,-0.07,"PTPRN",250
"RAB26",0,0.07,-0.07,"RAB26",251
"RNF180",0,0.07,-0.07,"RNF180",252
"WBP1",0.45,0.52,-0.07,"WBP1",253
"WNT2",0,0.07,-0.07,"WNT2",254
"AK2",3.11,3.18,-0.0700000000000003,"AK2",255
"GLYR1",3.15,3.22,-0.0700000000000003,"GLYR1",256
"PSME2",4.89,4.96,-0.0700000000000003,"PSME2",257
"PEX14",1.97,2.05,-0.0799999999999998,"PEX14",258
"AMPH",0,0.08,-0.08,"AMPH",259
"ARSI",0,0.08,-0.08,"ARSI",260
"CADM3",0,0.08,-0.08,"CADM3",261
"CCDC178",0,0.08,-0.08,"CCDC178",262
"DENND2A",0,0.08,-0.08,"DENND2A",263
"FAM71E1",0,0.08,-0.08,"FAM71E1",264
"GRAMD2",0,0.08,-0.08,"GRAMD2",265
"MMP24",0,0.08,-0.08,"MMP24",266
"PRKG1",0,0.08,-0.08,"PRKG1",267
"SKIDA1",0,0.08,-0.08,"SKIDA1",268
"SLC16A12",0,0.08,-0.08,"SLC16A12",269
"TCEAL7",0,0.08,-0.08,"TCEAL7",270
"TMEM132C",0,0.08,-0.08,"TMEM132C",271
"UNC5A",0,0.08,-0.08,"UNC5A",272
"ACOT8",2.46,2.54,-0.0800000000000001,"ACOT8",273
"ARHGDIA",5.03,5.11,-0.0800000000000001,"ARHGDIA",274
"ATP5E",6.79,6.87,-0.0800000000000001,"ATP5E",275
"CAPZB",5.63,5.71,-0.0800000000000001,"CAPZB",276
"COX7B",4.35,4.43,-0.0800000000000001,"COX7B",277
"DYNLRB1",4.36,4.44,-0.0800000000000001,"DYNLRB1",278
"GBF1",2.96,3.04,-0.0800000000000001,"GBF1",279
"H2AFV",4.51,4.59,-0.0800000000000001,"H2AFV",280
"HNRNPDL",5.58,5.66,-0.0800000000000001,"HNRNPDL",281
"INPP4A",3.29,3.37,-0.0800000000000001,"INPP4A",282
"PSMD8",4.47,4.55,-0.0800000000000001,"PSMD8",283
"RALGDS",4.16,4.24,-0.0800000000000001,"RALGDS",284
"TMEM160",3.26,3.34,-0.0800000000000001,"TMEM160",285
"TPGS2",2.79,2.87,-0.0800000000000001,"TPGS2",286
"ARHGAP4",4.29,4.38,-0.0899999999999999,"ARHGAP4",287
"ASB8",2.98,3.07,-0.0899999999999999,"ASB8",288
"ATP6V1E1",4.28,4.37,-0.0899999999999999,"ATP6V1E1",289
"CAPZA1",5.03,5.12,-0.0899999999999999,"CAPZA1",290
"COX5B",4.51,4.6,-0.0899999999999999,"COX5B",291
"IDH2",4.4,4.49,-0.0899999999999999,"IDH2",292
"TROVE2",3.02,3.11,-0.0899999999999999,"TROVE2",293
"LRRC56",0.78,0.87,-0.09,"LRRC56",294
"ANKRD65",0,0.09,-0.09,"ANKRD65",295
"AVPR2",0,0.09,-0.09,"AVPR2",296
"COL2A1",0,0.09,-0.09,"COL2A1",297
"ECEL1",0,0.09,-0.09,"ECEL1",298
"EDIL3",0,0.09,-0.09,"EDIL3",299
"KATNAL2",0,0.09,-0.09,"KATNAL2",300
"LRCH2",0,0.09,-0.09,"LRCH2",301
"PKP1",0,0.09,-0.09,"PKP1",302
"RFTN2",0,0.09,-0.09,"RFTN2",303
"SLC13A3",0,0.09,-0.09,"SLC13A3",304
"SYN1",0,0.09,-0.09,"SYN1",305
"TAC1",0,0.09,-0.09,"TAC1",306
"TCEAL5",0,0.09,-0.09,"TCEAL5",307
"PROB1",0.41,0.5,-0.09,"PROB1",308
"GGACT",1.49,1.58,-0.0900000000000001,"GGACT",309
"SPSB2",2.11,2.2,-0.0900000000000003,"SPSB2",310
"TADA3",3.32,3.41,-0.0900000000000003,"TADA3",311
"SHISA5",5.27,5.36,-0.0900000000000007,"SHISA5",312
"VPS28",4.02,4.11,-0.0900000000000007,"VPS28",313
"BCL2L1",4.15,4.25,-0.0999999999999996,"BCL2L1",314
"COX7A2",5.16,5.26,-0.0999999999999996,"COX7A2",315
"RNF213",5.04,5.14,-0.0999999999999996,"RNF213",316
"NUP107",1.91,2.01,-0.0999999999999999,"NUP107",317
"AMPD1",0,0.1,-0.1,"AMPD1",318
"CDC42EP5",0,0.1,-0.1,"CDC42EP5",319
"COL6A6",0,0.1,-0.1,"COL6A6",320
"CSRNP3",0,0.1,-0.1,"CSRNP3",321
"EVC",0,0.1,-0.1,"EVC",322
"FAM26E",0,0.1,-0.1,"FAM26E",323
"GHR",0,0.1,-0.1,"GHR",324
"GRID1",0,0.1,-0.1,"GRID1",325
"PSORS1C1",0,0.1,-0.1,"PSORS1C1",326
"RPL10L",0,0.1,-0.1,"RPL10L",327
"RSPH1",0,0.1,-0.1,"RSPH1",328
"SYN2",0,0.1,-0.1,"SYN2",329
"TCEAL2",0,0.1,-0.1,"TCEAL2",330
"TEAD4",0,0.1,-0.1,"TEAD4",331
"BAZ1B",3.08,3.18,-0.1,"BAZ1B",332
"CARHSP1",3.28,3.38,-0.1,"CARHSP1",333
"DLG3",2.26,2.36,-0.1,"DLG3",334
"ECI1",2.8,2.9,-0.1,"ECI1",335
"INTS3",1.15,1.25,-0.1,"INTS3",336
"KLHDC3",3.12,3.22,-0.1,"KLHDC3",337
"MRPL32",2.23,2.33,-0.1,"MRPL32",338
"RNF4",3.38,3.48,-0.1,"RNF4",339
"SSB",3.3,3.4,-0.1,"SSB",340
"EPS15",4.01,4.11,-0.100000000000001,"EPS15",341
"ANKRD40",2.49,2.6,-0.11,"ANKRD40",342
"FBXO5",1.59,1.7,-0.11,"FBXO5",343
"NCAPD2",2.87,2.98,-0.11,"NCAPD2",344
"PCMT1",3.89,4,-0.11,"PCMT1",345
"PPP1R7",3.71,3.82,-0.11,"PPP1R7",346
"SOCS4",1.98,2.09,-0.11,"SOCS4",347
"POC1A",0.47,0.58,-0.11,"POC1A",348
"AQP5",0,0.11,-0.11,"AQP5",349
"BMP7",0,0.11,-0.11,"BMP7",350
"C1QTNF4",0,0.11,-0.11,"C1QTNF4",351
"HOXC8",0,0.11,-0.11,"HOXC8",352
"HTR2A",0,0.11,-0.11,"HTR2A",353
"NDP",0,0.11,-0.11,"NDP",354
"NRIP2",0,0.11,-0.11,"NRIP2",355
"ZFPM2",0,0.11,-0.11,"ZFPM2",356
"ZNF112",0,0.11,-0.11,"ZNF112",357
"ACTR3",5.39,5.5,-0.11,"ACTR3",358
"EIF4A2",5.47,5.58,-0.11,"EIF4A2",359
"GBP3",2.61,2.72,-0.11,"GBP3",360
"GPBP1L1",3.8,3.91,-0.11,"GPBP1L1",361
"HMCES",3.26,3.37,-0.11,"HMCES",362
"MRPL28",2.28,2.39,-0.11,"MRPL28",363
"PDPR",2.86,2.97,-0.11,"PDPR",364
"SUMO2",5.33,5.44,-0.11,"SUMO2",365
"GPS1",3.47,3.59,-0.12,"GPS1",366
"NDUFS6",3.94,4.06,-0.12,"NDUFS6",367
"SNRNP25",2.16,2.28,-0.12,"SNRNP25",368
"ASTN1",0,0.12,-0.12,"ASTN1",369
"DLX3",0,0.12,-0.12,"DLX3",370
"DZIP1",0,0.12,-0.12,"DZIP1",371
"FAM72D",0.07,0.19,-0.12,"FAM72D",372
"GIPC2",0,0.12,-0.12,"GIPC2",373
"GPR182",0,0.12,-0.12,"GPR182",374
"HUNK",0,0.12,-0.12,"HUNK",375
"INMT",0,0.12,-0.12,"INMT",376
"ITGA8",0,0.12,-0.12,"ITGA8",377
"JPH1",0,0.12,-0.12,"JPH1",378
"OIP5",0.03,0.15,-0.12,"OIP5",379
"PABPC4L",0,0.12,-0.12,"PABPC4L",380
"PRRG3",0,0.12,-0.12,"PRRG3",381
"PSCA",0,0.12,-0.12,"PSCA",382
"RBPMS2",0,0.12,-0.12,"RBPMS2",383
"TM9SF1",0.49,0.61,-0.12,"TM9SF1",384
"WNT7B",0,0.12,-0.12,"WNT7B",385
"RP11.81A22.5",0.11,0.23,-0.12,"RP11.81A22.5",386
"ABCE1",2.6,2.72,-0.12,"ABCE1",387
"DNAJC11",1.98,2.1,-0.12,"DNAJC11",388
"METAP1",2.42,2.54,-0.12,"METAP1",389
"NDUFA1",4.74,4.86,-0.12,"NDUFA1",390
"PDZD8",2.1,2.22,-0.12,"PDZD8",391
"PIN4",2.58,2.7,-0.12,"PIN4",392
"PPP1R12A",3.92,4.04,-0.12,"PPP1R12A",393
"PSME1",5.8,5.92,-0.12,"PSME1",394
"RELA",3.42,3.54,-0.12,"RELA",395
"RSPRY1",2.35,2.47,-0.12,"RSPRY1",396
"RUNX1",3.55,3.67,-0.12,"RUNX1",397
"SAMD9L",3.95,4.07,-0.12,"SAMD9L",398
"SARS2",0.96,1.08,-0.12,"SARS2",399
"SCP2",4.16,4.28,-0.12,"SCP2",400
"SSU72",4.12,4.24,-0.12,"SSU72",401
"VDAC3",3.19,3.31,-0.12,"VDAC3",402
"ATP5B",5.01,5.14,-0.13,"ATP5B",403
"CCDC120",1.53,1.66,-0.13,"CCDC120",404
"CSNK2A2",2.89,3.02,-0.13,"CSNK2A2",405
"DEK",4.18,4.31,-0.13,"DEK",406
"HNRNPH1",4.93,5.06,-0.13,"HNRNPH1",407
"MRPL16",2.45,2.58,-0.13,"MRPL16",408
"ORMDL3",4.2,4.33,-0.13,"ORMDL3",409
"PIEZO1",3.52,3.65,-0.13,"PIEZO1",410
"PKN1",3.49,3.62,-0.13,"PKN1",411
"SF3B6",3.79,3.92,-0.13,"SF3B6",412
"SH3KBP1",5.03,5.16,-0.13,"SH3KBP1",413
"SSR4",4.61,4.74,-0.13,"SSR4",414
"STRN4",2.18,2.31,-0.13,"STRN4",415
"TRMT112",4.65,4.78,-0.13,"TRMT112",416
"UTP20",1.56,1.69,-0.13,"UTP20",417
"AADAC",0,0.13,-0.13,"AADAC",418
"BMX",0,0.13,-0.13,"BMX",419
"CHRD",0,0.13,-0.13,"CHRD",420
"FAM171B",0,0.13,-0.13,"FAM171B",421
"FAM81A",0,0.13,-0.13,"FAM81A",422
"FNDC1",0,0.13,-0.13,"FNDC1",423
"KLK11",0,0.13,-0.13,"KLK11",424
"LGI4",0,0.13,-0.13,"LGI4",425
"NOX4",0,0.13,-0.13,"NOX4",426
"NTS",0,0.13,-0.13,"NTS",427
"PAMR1",0,0.13,-0.13,"PAMR1",428
"PCDHB7",0,0.13,-0.13,"PCDHB7",429
"SLC22A16",0,0.13,-0.13,"SLC22A16",430
"TMEM200C",0,0.13,-0.13,"TMEM200C",431
"RNF20",1.91,2.04,-0.13,"RNF20",432
"CCNK",3.59,3.72,-0.13,"CCNK",433
"DTD1",2.86,2.99,-0.13,"DTD1",434
"ACTG1",8.2,8.33,-0.130000000000001,"ACTG1",435
"PRDM1",6.52,6.65,-0.130000000000001,"PRDM1",436
"CDC42SE2",4.99,5.13,-0.14,"CDC42SE2",437
"CYTH2",2.95,3.09,-0.14,"CYTH2",438
"DPY30",3.18,3.32,-0.14,"DPY30",439
"GRK6",3.99,4.13,-0.14,"GRK6",440
"HNRNPR",4.24,4.38,-0.14,"HNRNPR",441
"KCMF1",3.16,3.3,-0.14,"KCMF1",442
"LRRC41",2.68,2.82,-0.14,"LRRC41",443
"PELP1",2.37,2.51,-0.14,"PELP1",444
"SAP18",4.5,4.64,-0.14,"SAP18",445
"BMPER",0,0.14,-0.14,"BMPER",446
"C1QTNF2",0,0.14,-0.14,"C1QTNF2",447
"HAS2",0,0.14,-0.14,"HAS2",448
"KCNJ12",0,0.14,-0.14,"KCNJ12",449
"KLK10",0,0.14,-0.14,"KLK10",450
"PRG4",0,0.14,-0.14,"PRG4",451
"AIP",3.86,4,-0.14,"AIP",452
"AP1M1",3.48,3.62,-0.14,"AP1M1",453
"MRPS15",3.03,3.17,-0.14,"MRPS15",454
"PPP5C",2.86,3,-0.14,"PPP5C",455
"RPA3",2.56,2.7,-0.14,"RPA3",456
"TRAPPC1",4.39,4.53,-0.140000000000001,"TRAPPC1",457
"CTDNEP1",4.73,4.88,-0.149999999999999,"CTDNEP1",458
"PSMA7",5.32,5.47,-0.149999999999999,"PSMA7",459
"ABI1",3.6,3.75,-0.15,"ABI1",460
"SAP30L",2.47,2.62,-0.15,"SAP30L",461
"SUPT6H",3.36,3.51,-0.15,"SUPT6H",462
"TRIP4",2.06,2.21,-0.15,"TRIP4",463
"VEZT",2.72,2.87,-0.15,"VEZT",464
"ADAMTS12",0,0.15,-0.15,"ADAMTS12",465
"ATP1A2",0,0.15,-0.15,"ATP1A2",466
"AZU1",0,0.15,-0.15,"AZU1",467
"CNTD1",0,0.15,-0.15,"CNTD1",468
"CNTN1",0,0.15,-0.15,"CNTN1",469
"CORIN",0,0.15,-0.15,"CORIN",470
"EDAR",0,0.15,-0.15,"EDAR",471
"FAM19A5",0,0.15,-0.15,"FAM19A5",472
"FOXC2",0,0.15,-0.15,"FOXC2",473
"HHIPL1",0,0.15,-0.15,"HHIPL1",474
"KERA",0,0.15,-0.15,"KERA",475
"PTH1R",0,0.15,-0.15,"PTH1R",476
"RNF175",0,0.15,-0.15,"RNF175",477
"SMAD9",0,0.15,-0.15,"SMAD9",478
"STAB2",0,0.15,-0.15,"STAB2",479
"STEAP1",0,0.15,-0.15,"STEAP1",480
"TLL1",0,0.15,-0.15,"TLL1",481
"USHBP1",0,0.15,-0.15,"USHBP1",482
"STIL",0.48,0.63,-0.15,"STIL",483
