"","gene","score_avg","rank_avg"
"9450","MEF2A",-2.088,13384.9
"9451","MEF2B",-1.34714285714286,9298.14285714286
"9452","MEF2C",-5.044,15711.6
"9453","MEF2D",-0.523,4657.8
"9454","MEFV",-2.066,11808.3
"9455","MEGF10",-0.591666666666667,5532.5
"9456","MEGF11",-0.684285714285714,6649.14285714286
"9457","MEGF6",-1.019,8630
"9458","MEGF8",-0.89,7506.8
"9459","MEGF9",-1.728,10945.2
"9460","MEI1",-2.041,11601.6
"9461","MEI4",-0.22,2561.66666666667
"9462","MEIG1",-0.703333333333333,6469
"9463","MEIKIN",-0.47,4736
"9464","MEIS1",-1.07555555555556,7798.88888888889
"9465","MEIS2",-2.248,12028.7
"9466","MEIS3",-0.781111111111111,5095.33333333333
"9467","MELK",-1.347,9580.6
"9468","MEMO1",-0.876,7517.7
"9469","MEN1",-0.72,6445.7
"9470","MEOX1",-2.275,12079.3
"9471","MEOX2",-1.1775,7514.75
"9472","MEP1A",-0.7025,5697.25
"9473","MEP1B",-0.273333333333333,3113
"9474","MEPCE",-1.389,11270
"9475","MEPE",-0.131666666666667,1721
"9476","MERTK",-2.77,14516.8
"9477","MESDC1",-0.97,7901.44444444444
"9478","MESDC2",-0.828888888888889,7164.77777777778
"9479","MESP1",-0.867777777777778,7937.33333333333
"9480","MESP2",-0.2925,2737.75
"9481","MEST",-1.444,10187.8
"9482","MET",-1.303,9218.7
"9483","METAP1",-0.845,7102.3
"9484","METAP1D",-1.24777777777778,9426.55555555555
"9485","METAP2",-0.829,7143.9
"9486","METRN",-0.974,7991.5
"9487","METRNL",-2.336,13951.9
"9488","METTL1",-1.577,11592.4
"9489","METTL10",-0.811111111111111,6625.11111111111
"9490","METTL11B",-0.0866666666666667,1301.66666666667
"9491","METTL12",-1.618,11294.4
"9492","METTL13",-0.522,5111
"9493","METTL14",-0.729,6408.2
"9494","METTL15",-0.905555555555556,7901.88888888889
"9495","METTL16",-1.095,9269.7
"9496","METTL17",-0.755555555555556,6663.66666666667
"9497","METTL18",-0.79,6965.8
"9498","METTL21A",-1.727,12084.2
"9499","METTL21B",-1.20888888888889,9735.33333333333
"9500","METTL21C",-0.38,3540
"9501","METTL22",-1.387,10176.6
"9502","METTL23",-0.797,6693
"9503","METTL24",-0.437142857142857,4277.14285714286
"9504","METTL25",-1.662,10068.6
"9505","METTL2A",-1.106,8796.4
"9506","METTL2B",-0.772,6930.8
