"","min_2","max_other","target_score","gene","rank"
"VTCN1",0,0.01,-0.01,"VTCN1",235
"ADAM30",0,0.01,-0.01,"ADAM30",236
"GJA8",0,0.01,-0.01,"GJA8",237
"PPIAL4G",0,0.01,-0.01,"PPIAL4G",238
"RIIAD1",0,0.01,-0.01,"RIIAD1",239
"HRNR",0,0.01,-0.01,"HRNR",240
"LCE2B",0,0.01,-0.01,"LCE2B",241
"LCE2A",0,0.01,-0.01,"LCE2A",242
"SPRR2G",0,0.01,-0.01,"SPRR2G",243
"LELP1",0,0.01,-0.01,"LELP1",244
"HAPLN2",0,0.01,-0.01,"HAPLN2",245
"PCP4L1",0,0.01,-0.01,"PCP4L1",246
"RXRG",0,0.01,-0.01,"RXRG",247
"DPT",0,0.01,-0.01,"DPT",248
"NPHS2",0,0.01,-0.01,"NPHS2",249
"BRINP3",0,0.01,-0.01,"BRINP3",250
"RGS21",0,0.01,-0.01,"RGS21",251
"KISS1",0,0.01,-0.01,"KISS1",252
"KCNH1",0,0.01,-0.01,"KCNH1",253
"HHIPL2",0.01,0.02,-0.01,"HHIPL2",254
"WNT9A",0,0.01,-0.01,"WNT9A",255
"MT1HL1",0,0.01,-0.01,"MT1HL1",256
"MAP1LC3C",0,0.01,-0.01,"MAP1LC3C",257
"OR1C1",0,0.01,-0.01,"OR1C1",258
"OR2L3",0,0.01,-0.01,"OR2L3",259
"OR2T12",0,0.01,-0.01,"OR2T12",260
"NTSR2",0,0.01,-0.01,"NTSR2",261
"OSR1",0,0.01,-0.01,"OSR1",262
"CIB4",0,0.01,-0.01,"CIB4",263
"GKN1",0,0.01,-0.01,"GKN1",264
"TRIM43",0,0.01,-0.01,"TRIM43",265
"CNGA3",0,0.01,-0.01,"CNGA3",266
"ANKRD30BL",0,0.01,-0.01,"ANKRD30BL",267
"KCNJ3",0,0.01,-0.01,"KCNJ3",268
"GALNT5",0,0.01,-0.01,"GALNT5",269
"DLX1",0,0.01,-0.01,"DLX1",270
"EVX2",0,0.01,-0.01,"EVX2",271
"MSTN",0,0.01,-0.01,"MSTN",272
"AC010731.4",0,0.01,-0.01,"AC010731.4",273
"CHRND",0,0.01,-0.01,"CHRND",274
"TWIST2",0,0.01,-0.01,"TWIST2",275
"OR6B3",0,0.01,-0.01,"OR6B3",276
"HHATL",0,0.01,-0.01,"HHATL",277
"IL17RD",0,0.01,-0.01,"IL17RD",278
"FRG2C",0.01,0.02,-0.01,"FRG2C",279
"RETNLB",0,0.01,-0.01,"RETNLB",280
