"","min_2","max_other","target_score","gene","rank"
"TEX29",0.21,0.24,-0.03,"TEX29",359
"TP53TG3D",0,0.03,-0.03,"TP53TG3D",360
"TRIM49B",0,0.03,-0.03,"TRIM49B",361
"WFDC10B",0,0.03,-0.03,"WFDC10B",362
"CXorf40A",1.15,1.18,-0.03,"CXorf40A",363
"FASTKD1",1.41,1.44,-0.03,"FASTKD1",364
"HLCS",1.5,1.53,-0.03,"HLCS",365
"OR4S2",0.25,0.28,-0.03,"OR4S2",366
"PHKG2",1.4,1.43,-0.03,"PHKG2",367
"DDX54",2.82,2.85,-0.0300000000000002,"DDX54",368
"PPID",2.71,2.74,-0.0300000000000002,"PPID",369
"PPP1CC",3.82,3.85,-0.0300000000000002,"PPP1CC",370
"RANBP9",2.86,2.89,-0.0300000000000002,"RANBP9",371
"PACS1",3.24,3.28,-0.0399999999999996,"PACS1",372
"HOXC6",0.17,0.21,-0.04,"HOXC6",373
"TRIM17",0.17,0.21,-0.04,"TRIM17",374
"DMP1",0.05,0.09,-0.04,"DMP1",375
"GPHB5",0.07,0.11,-0.04,"GPHB5",376
"TEX38",0.05,0.09,-0.04,"TEX38",377
"AC131097.4",0,0.04,-0.04,"AC131097.4",378
"ASCL3",0,0.04,-0.04,"ASCL3",379
"C11orf94",0,0.04,-0.04,"C11orf94",380
"C9orf92",0,0.04,-0.04,"C9orf92",381
"CCL24",0,0.04,-0.04,"CCL24",382
"CGB5",0,0.04,-0.04,"CGB5",383
"CSH1",0,0.04,-0.04,"CSH1",384
"DEFA5",0,0.04,-0.04,"DEFA5",385
"ESX1",0,0.04,-0.04,"ESX1",386
"FOXD4L6",0,0.04,-0.04,"FOXD4L6",387
"GCM2",0,0.04,-0.04,"GCM2",388
"GGT2",0,0.04,-0.04,"GGT2",389
"GOLGA8F",0,0.04,-0.04,"GOLGA8F",390
"HBZ",0,0.04,-0.04,"HBZ",391
"HIST1H2AA",0,0.04,-0.04,"HIST1H2AA",392
"HIST1H2BI",0,0.04,-0.04,"HIST1H2BI",393
"IGFBPL1",0,0.04,-0.04,"IGFBPL1",394
"KRTAP10.10",0,0.04,-0.04,"KRTAP10.10",395
"KRTAP10.12",0,0.04,-0.04,"KRTAP10.12",396
"KRTAP12.3",0,0.04,-0.04,"KRTAP12.3",397
"KRTAP3.3",0,0.04,-0.04,"KRTAP3.3",398
"KRTAP4.2",0,0.04,-0.04,"KRTAP4.2",399
"KRTAP5.5",0,0.04,-0.04,"KRTAP5.5",400
"LCE1F",0,0.04,-0.04,"LCE1F",401
"LENEP",0,0.04,-0.04,"LENEP",402
"MAGEA3",0,0.04,-0.04,"MAGEA3",403
"MAGED4B",0,0.04,-0.04,"MAGED4B",404
"MRGPRX4",0,0.04,-0.04,"MRGPRX4",405
"OPN1LW",0,0.04,-0.04,"OPN1LW",406
"OPN1MW2",0,0.04,-0.04,"OPN1MW2",407
"OR2A4",0,0.04,-0.04,"OR2A4",408
"OR8U1",0,0.04,-0.04,"OR8U1",409
"PCDHA13",0,0.04,-0.04,"PCDHA13",410
"PFN3",0,0.04,-0.04,"PFN3",411
"PLGLB2",0,0.04,-0.04,"PLGLB2",412
"PYDC2",0,0.04,-0.04,"PYDC2",413
"RHOXF2",0,0.04,-0.04,"RHOXF2",414
"RNASE10",0,0.04,-0.04,"RNASE10",415
"SERF1B",0,0.04,-0.04,"SERF1B",416
"TRIM49C",0,0.04,-0.04,"TRIM49C",417
"TRIM49D1",0,0.04,-0.04,"TRIM49D1",418
"UGT1A8",0,0.04,-0.04,"UGT1A8",419
"ZAR1L",0,0.04,-0.04,"ZAR1L",420
"KRT76",0.16,0.2,-0.04,"KRT76",421
"RAB40A",0.1,0.14,-0.04,"RAB40A",422
"BTG3",3.9,3.94,-0.04,"BTG3",423
"CD96",4.37,4.41,-0.04,"CD96",424
"CDK5RAP2",2.19,2.23,-0.04,"CDK5RAP2",425
"CNOT7",4.03,4.07,-0.04,"CNOT7",426
"FBXL3",3.68,3.72,-0.04,"FBXL3",427
"FBXO28",2.13,2.17,-0.04,"FBXO28",428
"IWS1",2.34,2.38,-0.04,"IWS1",429
"OST4",5.41,5.45,-0.04,"OST4",430
"PRRC2C",5.88,5.92,-0.04,"PRRC2C",431
"ZNF654",2.4,2.44,-0.04,"ZNF654",432
"AGPAT3",3.02,3.07,-0.0499999999999998,"AGPAT3",433
"DR1",3.45,3.5,-0.0499999999999998,"DR1",434
"LCK",5.01,5.06,-0.0499999999999998,"LCK",435
"RSBN1L",3.23,3.28,-0.0499999999999998,"RSBN1L",436
"SLC38A10",2.81,2.86,-0.0499999999999998,"SLC38A10",437
"SURF4",4.57,4.62,-0.0499999999999998,"SURF4",438
"TSPAN17",1.98,2.03,-0.0499999999999998,"TSPAN17",439
"FDXR",0.43,0.48,-0.05,"FDXR",440
"PKD1L1",0.2,0.25,-0.05,"PKD1L1",441
"STX19",0.1,0.15,-0.05,"STX19",442
"ZNF66",0.24,0.29,-0.05,"ZNF66",443
"KDM4E",0.04,0.09,-0.05,"KDM4E",444
"AVP",0,0.05,-0.05,"AVP",445
"BHLHA15",0,0.05,-0.05,"BHLHA15",446
"BSX",0,0.05,-0.05,"BSX",447
"CCDC105",0,0.05,-0.05,"CCDC105",448
"CETN1",0,0.05,-0.05,"CETN1",449
"CST4",0,0.05,-0.05,"CST4",450
"CTAGE6",0,0.05,-0.05,"CTAGE6",451
"CTAGE9",0,0.05,-0.05,"CTAGE9",452
"CTRB1",0,0.05,-0.05,"CTRB1",453
"DCAF8L1",0,0.05,-0.05,"DCAF8L1",454
"DEFB112",0,0.05,-0.05,"DEFB112",455
"GAGE10",0,0.05,-0.05,"GAGE10",456
"GAST",0,0.05,-0.05,"GAST",457
"GCNT7",0,0.05,-0.05,"GCNT7",458
"GOLGA8K",0,0.05,-0.05,"GOLGA8K",459
"GPRIN2",0,0.05,-0.05,"GPRIN2",460
"HIST1H1T",0,0.05,-0.05,"HIST1H1T",461
"HIST1H4K",0,0.05,-0.05,"HIST1H4K",462
"HIST2H4A",0,0.05,-0.05,"HIST2H4A",463
"HMX3",0,0.05,-0.05,"HMX3",464
"HNRNPCL1",0,0.05,-0.05,"HNRNPCL1",465
"HSFY1",0,0.05,-0.05,"HSFY1",466
"IFNA14",0,0.05,-0.05,"IFNA14",467
"IFNA16",0,0.05,-0.05,"IFNA16",468
"IFNA8",0,0.05,-0.05,"IFNA8",469
"IL17F",0,0.05,-0.05,"IL17F",470
"IQCF5",0,0.05,-0.05,"IQCF5",471
"KRTAP1.5",0,0.05,-0.05,"KRTAP1.5",472
"KRTAP10.3",0,0.05,-0.05,"KRTAP10.3",473
"LCE1D",0,0.05,-0.05,"LCE1D",474
"LCE3D",0,0.05,-0.05,"LCE3D",475
"LYZL1",0,0.05,-0.05,"LYZL1",476
"MC4R",0,0.05,-0.05,"MC4R",477
"NPIPB11",0,0.05,-0.05,"NPIPB11",478
"NPIPB6",0,0.05,-0.05,"NPIPB6",479
"NPPB",0,0.05,-0.05,"NPPB",480
"OR10G8",0,0.05,-0.05,"OR10G8",481
"OR13C2",0,0.05,-0.05,"OR13C2",482
"OR2AE1",0,0.05,-0.05,"OR2AE1",483
"OR2T27",0,0.05,-0.05,"OR2T27",484
"OR4K15",0,0.05,-0.05,"OR4K15",485
"OR51I1",0,0.05,-0.05,"OR51I1",486
