"","min_2","max_other","target_score","gene","rank"
"MRGPRE",0,0,0,"MRGPRE",201
"TCTE1",0,0,0,"TCTE1",202
"RFX6",0,0,0,"RFX6",203
"TAS2R8",0,0,0,"TAS2R8",204
"TAS2R13",0,0,0,"TAS2R13",205
"GCNT3",0,0,0,"GCNT3",206
"OR2A14",0,0,0,"OR2A14",207
"PPP1R1A",0,0,0,"PPP1R1A",208
"LCE2C",0,0,0,"LCE2C",209
"GABBR2",0,0,0,"GABBR2",210
"DUSP13",0,0,0,"DUSP13",211
"ZFP92",0,0,0,"ZFP92",212
"OR14A16",0,0,0,"OR14A16",213
"FAM46B",0,0,0,"FAM46B",214
"PAIP2",6.09,6.09,0,"PAIP2",215
"KRTAP4.3",0,0,0,"KRTAP4.3",216
"SPRR2D",0,0,0,"SPRR2D",217
"IP6K3",0,0,0,"IP6K3",218
"S100G",0,0,0,"S100G",219
"FSTL4",0,0,0,"FSTL4",220
"KIR3DX1",0,0,0,"KIR3DX1",221
"HOXC5",0,0,0,"HOXC5",222
"LRRN4",0,0,0,"LRRN4",223
"SMCP",0,0,0,"SMCP",224
"PRKAG3",0,0,0,"PRKAG3",225
"PRM3",0,0,0,"PRM3",226
"CSMD1",0,0,0,"CSMD1",227
"BMPER",0,0,0,"BMPER",228
"ALS2CR11",0,0,0,"ALS2CR11",229
"GAGE12E",0,0,0,"GAGE12E",230
"KRTAP1.1",0,0,0,"KRTAP1.1",231
"TRPC5OS",0,0,0,"TRPC5OS",232
"PRLHR",0,0,0,"PRLHR",233
"CPA6",0,0,0,"CPA6",234
"PLA2G3",0,0,0,"PLA2G3",235
"COL2A1",0,0,0,"COL2A1",236
"DLX3",0,0,0,"DLX3",237
"ITIH2",0,0,0,"ITIH2",238
"KLHL40",0,0,0,"KLHL40",239
"GDF5",0,0,0,"GDF5",240
"DEFB108B",0,0,0,"DEFB108B",241
"CHRM2",0,0,0,"CHRM2",242
"GABRA4",0,0,0,"GABRA4",243
"VN1R1",0.01,0.01,0,"VN1R1",244
"MSTN",0,0,0,"MSTN",245
"COX6A2",0,0,0,"COX6A2",246
"CTNNA2",0,0,0,"CTNNA2",247
"ATP10B",0,0,0,"ATP10B",248
"SPANXN3",0,0,0,"SPANXN3",249
"TTC1",4.14,4.14,0,"TTC1",250
"FMN2",0,0,0,"FMN2",251
"SMYD1",0,0,0,"SMYD1",252
"SPOCD1",0,0,0,"SPOCD1",253
"SLC6A11",0,0,0,"SLC6A11",254
"ISL1",0,0,0,"ISL1",255
"GRK1",0,0,0,"GRK1",256
"ALX1",0,0,0,"ALX1",257
"TM4SF4",0,0,0,"TM4SF4",258
"SPZ1",0,0,0,"SPZ1",259
"AWAT1",0,0,0,"AWAT1",260
"GPR158",0,0,0,"GPR158",261
"WNT6",0,0,0,"WNT6",262
"NECAB2",0,0,0,"NECAB2",263
"SLC51B",0,0,0,"SLC51B",264
