"","min_2","max_other","target_score","gene","rank"
"STIP1",3.12,3.09,0.0300000000000002,"STIP1",174
"ZBTB1",2.64,2.61,0.0300000000000002,"ZBTB1",175
"PMPCA",2.22,2.19,0.0300000000000002,"PMPCA",176
"PPM1G",4.19,4.16,0.0300000000000002,"PPM1G",177
"PSMA5",4.38,4.35,0.0300000000000002,"PSMA5",178
"PSMC2",3.41,3.38,0.0300000000000002,"PSMC2",179
"RAD21",4.21,4.18,0.0300000000000002,"RAD21",180
"YIPF4",3.16,3.13,0.0300000000000002,"YIPF4",181
"DNAL4",0.9,0.87,0.03,"DNAL4",182
"ASCC1",1.95,1.92,0.03,"ASCC1",183
"METTL3",1.48,1.45,0.03,"METTL3",184
"PRPSAP1",1.99,1.96,0.03,"PRPSAP1",185
"RBM10",1.8,1.77,0.03,"RBM10",186
"DHRS13",0.83,0.8,0.0299999999999999,"DHRS13",187
"PPHLN1",3.78,3.75,0.0299999999999998,"PPHLN1",188
"TM7SF3",2.05,2.02,0.0299999999999998,"TM7SF3",189
"THRAP3",4.56,4.53,0.0299999999999994,"THRAP3",190
"ARF6",4.24,4.22,0.0200000000000005,"ARF6",191
"PSMC5",4.29,4.27,0.0200000000000005,"PSMC5",192
"NUTF2",3.28,3.26,0.02,"NUTF2",193
"ADH5",3.28,3.26,0.02,"ADH5",194
"MITD1",3.25,3.23,0.02,"MITD1",195
"CSK",3.72,3.7,0.02,"CSK",196
"IFFO1",1.22,1.2,0.02,"IFFO1",197
"TRMT2A",1.85,1.83,0.02,"TRMT2A",198
"ZNRD1",3.33,3.31,0.02,"ZNRD1",199
"NDUFS2",3.24,3.22,0.02,"NDUFS2",200
"STX18",1.74,1.72,0.02,"STX18",201
"SDHAF2",3.21,3.19,0.02,"SDHAF2",202
"PIH1D1",3.3,3.28,0.02,"PIH1D1",203
"ARMC1",2.24,2.22,0.02,"ARMC1",204
"BIN3",1.95,1.93,0.02,"BIN3",205
"LUZP1",2.99,2.97,0.02,"LUZP1",206
"CUL5",2.66,2.64,0.02,"CUL5",207
"CASK",0.94,0.92,0.0199999999999999,"CASK",208
"NUDT21",3.01,2.99,0.0199999999999996,"NUDT21",209
"CHMP4A",4.63,4.61,0.0199999999999996,"CHMP4A",210
"SURF4",3.51,3.49,0.0199999999999996,"SURF4",211
"HMGN1",5.57,5.56,0.0100000000000007,"HMGN1",212
"CHST11",2.6,2.59,0.0100000000000002,"CHST11",213
"TMEM136",0.07,0.06,0.01,"TMEM136",214
"PHLDA3",0.54,0.53,0.01,"PHLDA3",215
"HOXB4",1.3,1.29,0.01,"HOXB4",216
"INPP5K",1.97,1.96,0.01,"INPP5K",217
"ZNF562",1.51,1.5,0.01,"ZNF562",218
"HDHD2",1.67,1.66,0.01,"HDHD2",219
"AP5Z1",1.35,1.34,0.01,"AP5Z1",220
"OPRM1",0.04,0.03,0.01,"OPRM1",221
"PTTG2",0.02,0.01,0.01,"PTTG2",222
"CCT8",3.88,3.87,0.00999999999999979,"CCT8",223
"CARHSP1",3.32,3.31,0.00999999999999979,"CARHSP1",224
"ARIH2",2.98,2.98,0,"ARIH2",225
"STAMBP",2.36,2.36,0,"STAMBP",226
"CCR8",0.02,0.02,0,"CCR8",227
"TSACC",0,0,0,"TSACC",228
"MROH8",0,0,0,"MROH8",229
"CRYGS",0,0,0,"CRYGS",230
"ZNF558",0.14,0.14,0,"ZNF558",231
"DPYSL3",0,0,0,"DPYSL3",232
"ANKRD23",0,0,0,"ANKRD23",233
"LIPH",0,0,0,"LIPH",234
"ATP11B",1.92,1.92,0,"ATP11B",235
"NUDT13",0,0,0,"NUDT13",236
"LSM14A",3.65,3.65,0,"LSM14A",237
"GLS2",0,0,0,"GLS2",238
"GNAL",0,0,0,"GNAL",239
"GOT2",1.81,1.81,0,"GOT2",240
"RIMKLA",0,0,0,"RIMKLA",241
"IL2RG",6.33,6.33,0,"IL2RG",242
"LYSMD1",0,0,0,"LYSMD1",243
"LTBP2",0,0,0,"LTBP2",244
"FAM127C",0,0,0,"FAM127C",245
"HNRNPM",4.89,4.89,0,"HNRNPM",246
"ZCCHC17",2.98,2.98,0,"ZCCHC17",247
