"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"97","ABHD6",10181,4327,11223,8976,8992,14129,7085,15287,5791,6828,9281.9
"98","ABHD8",7725,71,12009,11741,8088,10327,12305,9451,3153,3585,7845.5
"99","ABI1",7061,11267,460,6305,6242,9457,161,5374,2238,3199,5176.4
"100","ABI2",10879,7630,3553,7691,12291,8553,9456,5334,4511,1146,7104.4
"101","ABI3",13929,6485,9176,17177,11572,14104,14081,10860,9984,10457,11782.5
"102","ABI3BP",12520,13274,5189,14831,1846,13672,935,3643,NA,12703,8734.77777777778
"103","ABL1",10855,7140,9085,8357,7701,14289,6084,11205,8399,3764,8687.9
"104","ABL2",15633,14062,10315,16391,10778,16562,10952,10339,11431,13722,13018.5
"105","ABLIM1",14951,14411,10347,17470,13575,12744,14427,15623,10531,13928,13800.7
"106","ABLIM2",11197,14638,2169,14474,5477,11380,13722,10367,NA,12970,10710.4444444444
"107","ABLIM3",13249,14404,6128,16868,8799,14629,5349,3308,636,9510,9288
"108","ABO",12117,5631,7938,15969,1575,12169,4041,3959,3840,12007,7924.6
"109","ABR",9115,14830,8551,12643,10474,13955,8184,10189,6625,11043,10560.9
"110","ABRA",NA,3105,NA,4143,NA,674,974,14592,NA,2591,4346.5
"111","ABRACL",14701,8110,1421,5604,3204,2529,4903,4883,7718,3650,5672.3
"112","ABT1",1737,4368,3208,5673,9179,13544,6071,14308,113,7952,6615.3
"113","ABTB1",15075,7267,12815,13172,9559,16122,3490,73,51,6214,8383.8
"114","ABTB2",3380,11280,3043,13210,4530,11243,4413,6451,1272,1564,6038.6
"115","AC002310.13",NA,NA,NA,NA,8026,NA,431,NA,NA,NA,4228.5
"116","AC002398.9",NA,NA,NA,NA,10695,NA,NA,7379,NA,NA,9037
"117","AC002429.5",NA,NA,NA,NA,3810,NA,9014,330,NA,NA,4384.66666666667
"118","AC002985.3",NA,NA,NA,NA,3222,NA,NA,13361,NA,NA,8291.5
"119","AC003002.4",NA,NA,NA,NA,10739,NA,NA,10515,NA,NA,10627
"120","AC003002.6",NA,NA,NA,NA,NA,NA,867,5628,NA,NA,3247.5
"121","AC003005.4",NA,NA,NA,NA,1951,NA,2164,3638,NA,NA,2584.33333333333
"122","AC003006.7",NA,NA,NA,NA,5246,NA,NA,18153,NA,NA,11699.5
"123","AC004076.7",NA,NA,NA,NA,NA,NA,NA,8334,NA,NA,8334
"124","AC004076.9",NA,NA,NA,NA,NA,NA,NA,7901,NA,NA,7901
"125","AC004381.6",8044,NA,8817,NA,1717,NA,10572,15644,NA,NA,8958.8
"126","AC004754.3",3399,NA,NA,NA,NA,NA,2615,NA,NA,NA,3007
"127","AC005281.1",NA,NA,NA,NA,NA,829,NA,2047,NA,NA,1438
"128","AC005779.2",NA,NA,NA,NA,2413,NA,NA,NA,NA,NA,2413
"129","AC006116.20",NA,NA,2272,NA,8424,NA,3947,9428,NA,NA,6017.75
"130","AC006486.9",NA,NA,NA,NA,1952,NA,1403,3346,NA,NA,2233.66666666667
"131","AC006538.4",NA,NA,NA,NA,NA,NA,NA,15680,NA,NA,15680
