"","min_2","max_other","target_score","gene","rank"
"ADAT2",1.84,1.83,0.01,"ADAT2",284
"UNC45A",1.97,1.96,0.01,"UNC45A",285
"NUTM2G",0.04,0.03,0.01,"NUTM2G",286
"SPATA45",0.03,0.02,0.01,"SPATA45",287
"RBFOX3",0.03,0.02,0.01,"RBFOX3",288
"ATPIF1",5.2,5.19,0.00999999999999979,"ATPIF1",289
"C1orf35",2.46,2.45,0.00999999999999979,"C1orf35",290
"RAD21",4.09,4.08,0.00999999999999979,"RAD21",291
"CPSF6",3.13,3.12,0.00999999999999979,"CPSF6",292
"DCTN5",2.28,2.27,0.00999999999999979,"DCTN5",293
"MT1E",2.75,2.74,0.00999999999999979,"MT1E",294
"PRPF31",3.01,3,0.00999999999999979,"PRPF31",295
"ANGPTL7",0,0,0,"ANGPTL7",296
"HNRNPCL3",0,0,0,"HNRNPCL3",297
"ASAP3",0,0,0,"ASAP3",298
"EXTL1",0,0,0,"EXTL1",299
"CSMD2",0,0,0,"CSMD2",300
"GRIK3",0,0,0,"GRIK3",301
"TEX38",0,0,0,"TEX38",302
"RTCA",2.69,2.69,0,"RTCA",303
"AKNAD1",0,0,0,"AKNAD1",304
"PROK1",0,0,0,"PROK1",305
"FAM19A3",0,0,0,"FAM19A3",306
"NHLH2",0,0,0,"NHLH2",307
"SV2A",0.54,0.54,0,"SV2A",308
"TCHHL1",0,0,0,"TCHHL1",309
"PGLYRP4",0,0,0,"PGLYRP4",310
"DUSP27",0,0,0,"DUSP27",311
"RGS8",0,0,0,"RGS8",312
"MT1HL1",0,0,0,"MT1HL1",313
"OR14I1",0,0,0,"OR14I1",314
"SNX17",3.78,3.78,0,"SNX17",315
"NRBP1",3.63,3.63,0,"NRBP1",316
"ARHGAP25",3.6,3.6,0,"ARHGAP25",317
"DGUOK",3.87,3.87,0,"DGUOK",318
"LRRTM1",0,0,0,"LRRTM1",319
"RGPD1",0,0,0,"RGPD1",320
"CIAO1",2.59,2.59,0,"CIAO1",321
"IL36G",0,0,0,"IL36G",322
"MARCH4",0,0,0,"MARCH4",323
"SUSD5",0,0,0,"SUSD5",324
"SLC22A13",0,0,0,"SLC22A13",325
"XIRP1",0,0,0,"XIRP1",326
"CCK",0,0,0,"CCK",327
"NICN1",0,0,0,"NICN1",328
"CAMKV",0,0,0,"CAMKV",329
"FAM3D",0,0,0,"FAM3D",330
"DRD3",0,0,0,"DRD3",331
"FBXO40",0,0,0,"FBXO40",332
"CASR",0,0,0,"CASR",333
"A4GNT",0,0,0,"A4GNT",334
"ZIC1",0,0,0,"ZIC1",335
"CLDN16",0,0,0,"CLDN16",336
"CFAP99",0,0,0,"CFAP99",337
"THEGL",0,0,0,"THEGL",338
"HAND2",0,0,0,"HAND2",339
"SLC6A3",0,0,0,"SLC6A3",340
"HSPB3",0,0,0,"HSPB3",341
"PSD2",0,0,0,"PSD2",342
"SLC25A2",0,0,0,"SLC25A2",343
"PCDHGB1",0,0,0,"PCDHGB1",344
"C5orf46",0,0,0,"C5orf46",345
"HAND1",0,0,0,"HAND1",346
"GABRB2",0,0,0,"GABRB2",347
"TENM2",0,0,0,"TENM2",348
"SNCB",0,0,0,"SNCB",349
"RANBP9",1.75,1.75,0,"RANBP9",350
"OR2B6",0,0,0,"OR2B6",351
"GLP1R",0,0,0,"GLP1R",352
"SAYSD1",1.88,1.88,0,"SAYSD1",353
"PRPH2",0,0,0,"PRPH2",354
"NKAIN2",0,0,0,"NKAIN2",355
"GRM1",0,0,0,"GRM1",356
"RSPH10B2",0,0,0,"RSPH10B2",357
"WBSCR28",0,0,0,"WBSCR28",358
"UPK3B",0,0,0,"UPK3B",359
"GJC3",0,0,0,"GJC3",360
"NAT16",0,0,0,"NAT16",361
"NFE4",0,0,0,"NFE4",362
"SLC26A5",0,0,0,"SLC26A5",363
"FOXP2",0.04,0.04,0,"FOXP2",364
"CTAGE15",0,0,0,"CTAGE15",365
"TEX11",0,0,0,"TEX11",366
"POU3F4",0,0,0,"POU3F4",367
"DACH2",0,0,0,"DACH2",368
"TCEAL6",0,0,0,"TCEAL6",369
"U82695.5",0,0,0,"U82695.5",370
"ATP2B3",0,0,0,"ATP2B3",371
"SGCZ",0,0,0,"SGCZ",372
"MTMR7",0,0,0,"MTMR7",373
"CHRNA2",0,0,0,"CHRNA2",374
"TSTA3",3.03,3.03,0,"TSTA3",375
"VPS28",4.36,4.36,0,"VPS28",376
"EQTN",0,0,0,"EQTN",377
"C9orf135",0,0,0,"C9orf135",378
"SHC3",0,0,0,"SHC3",379
"BARX1",0,0,0,"BARX1",380
"GFI1B",0,0,0,"GFI1B",381
"B4GALNT4",0,0,0,"B4GALNT4",382
"OR52K2",0,0,0,"OR52K2",383
"LMO1",0,0,0,"LMO1",384
"BTBD18",0,0,0,"BTBD18",385
"OR9Q1",0,0,0,"OR9Q1",386
"C11orf86",0,0,0,"C11orf86",387
"KRTAP5.8",0,0,0,"KRTAP5.8",388
"KRTAP5.9",0,0,0,"KRTAP5.9",389
"C11orf88",0,0,0,"C11orf88",390
"ABCG4",0,0,0,"ABCG4",391
