"","min_2","max_other","target_score","gene","rank"
"GPRC6A",0,0,0,"GPRC6A",190
"GPT",0,0,0,"GPT",191
"GRHL2",0,0,0,"GRHL2",192
"GRIK2",0,0,0,"GRIK2",193
"GRP",0,0,0,"GRP",194
"H1FNT",0,0,0,"H1FNT",195
"HCN1",0,0,0,"HCN1",196
"HEPACAM",0,0,0,"HEPACAM",197
"HGFAC",0,0,0,"HGFAC",198
"HIGD1B",0,0,0,"HIGD1B",199
"HOXA13",0,0,0,"HOXA13",200
"HOXD1",0,0,0,"HOXD1",201
"HOXD11",0,0,0,"HOXD11",202
"HPD",0,0,0,"HPD",203
"HRCT1",0,0,0,"HRCT1",204
"HTR1B",0,0,0,"HTR1B",205
"IFNA5",0,0,0,"IFNA5",206
"IFNB1",0,0,0,"IFNB1",207
"IGDCC4",0,0,0,"IGDCC4",208
"IL3",0,0,0,"IL3",209
"INHA",0,0,0,"INHA",210
"INPP5J",0,0,0,"INPP5J",211
"IRS4",0,0,0,"IRS4",212
"ISLR",0,0,0,"ISLR",213
"ISM2",0,0,0,"ISM2",214
"KCNA1",0,0,0,"KCNA1",215
"KCNC1",0,0,0,"KCNC1",216
"KCNG4",0,0,0,"KCNG4",217
"KCNIP1",0,0,0,"KCNIP1",218
"KCNJ12",0,0,0,"KCNJ12",219
"KCNT2",0,0,0,"KCNT2",220
"KCTD4",0,0,0,"KCTD4",221
"KDM4E",0,0,0,"KDM4E",222
"KLHL1",0,0,0,"KLHL1",223
"KLK7",0,0,0,"KLK7",224
"KLK8",0,0,0,"KLK8",225
"KRT13",0,0,0,"KRT13",226
"KRT16",0,0,0,"KRT16",227
"KRT31",0,0,0,"KRT31",228
"KRT83",0,0,0,"KRT83",229
"KRTAP10.1",0,0,0,"KRTAP10.1",230
"KRTAP5.10",0,0,0,"KRTAP5.10",231
"KRTAP5.9",0,0,0,"KRTAP5.9",232
"LEFTY1",0,0,0,"LEFTY1",233
"LEUTX",0,0,0,"LEUTX",234
"LHX6",0,0,0,"LHX6",235
"LINC00521",0,0,0,"LINC00521",236
"LRCH2",0,0,0,"LRCH2",237
"LRCOL1",0,0,0,"LRCOL1",238
"LRFN5",0,0,0,"LRFN5",239
"LRP3",0,0,0,"LRP3",240
"LURAP1L",0,0,0,"LURAP1L",241
"LYPD4",0,0,0,"LYPD4",242
"MAGEB17",0,0,0,"MAGEB17",243
"MAS1L",0,0,0,"MAS1L",244
"METTL24",0,0,0,"METTL24",245
"MMP10",0,0,0,"MMP10",246
"MMP13",0,0,0,"MMP13",247
"MPL",0,0,0,"MPL",248
"MRAP",0,0,0,"MRAP",249
"MSTN",0,0,0,"MSTN",250
"MTMR7",0,0,0,"MTMR7",251
"MYBPH",0,0,0,"MYBPH",252
"NANOG",0,0,0,"NANOG",253
"NBPF4",0,0,0,"NBPF4",254
"NGEF",0,0,0,"NGEF",255
"NKX2.2",0,0,0,"NKX2.2",256
"NPFFR2",0,0,0,"NPFFR2",257
"NPPA",0,0,0,"NPPA",258
"NRSN1",0,0,0,"NRSN1",259
"NXNL1",0,0,0,"NXNL1",260
"OBP2A",0,0,0,"OBP2A",261
"OBP2B",0,0,0,"OBP2B",262
"ODF3",0,0,0,"ODF3",263
"ODF3L1",0,0,0,"ODF3L1",264
"OLFM3",0,0,0,"OLFM3",265
"OPCML",0,0,0,"OPCML",266
"OR10G3",0,0,0,"OR10G3",267
"OR14C36",0,0,0,"OR14C36",268
"OR1F1",0,0,0,"OR1F1",269
"OR2A12",0,0,0,"OR2A12",270
"OR2A14",0,0,0,"OR2A14",271
"OR2C3",0,0,0,"OR2C3",272
"OR2J2",0,0,0,"OR2J2",273
"OR2M2",0,0,0,"OR2M2",274
"OR4C5",0,0,0,"OR4C5",275
"OR51A7",0,0,0,"OR51A7",276
"OR51V1",0,0,0,"OR51V1",277
"OR5D14",0,0,0,"OR5D14",278
"ORM1",0,0,0,"ORM1",279
"PABPC4L",0,0,0,"PABPC4L",280
"PADI1",0,0,0,"PADI1",281
"PAQR9",0,0,0,"PAQR9",282
"PCDHB11",0,0,0,"PCDHB11",283
"PCDHB4",0,0,0,"PCDHB4",284
"PCDHGA8",0,0,0,"PCDHGA8",285
"PCED1B",4.63,4.63,0,"PCED1B",286
"PDCL2",0,0,0,"PDCL2",287
"PGA5",0,0,0,"PGA5",288
"PGLYRP1",0,0,0,"PGLYRP1",289
"PIP",0,0,0,"PIP",290
"PLA2G3",0,0,0,"PLA2G3",291
"PLA2G4B",0,0,0,"PLA2G4B",292
"PLCZ1",0,0,0,"PLCZ1",293
"PON1",0,0,0,"PON1",294
"POTEJ",0,0,0,"POTEJ",295
"PPP2R2C",0,0,0,"PPP2R2C",296
"PRB1",0,0,0,"PRB1",297
"PRDM12",0,0,0,"PRDM12",298
"PRG2",0,0,0,"PRG2",299
"PRM1",0,0,0,"PRM1",300
"PRMT8",0,0,0,"PRMT8",301
"PROB1",0.02,0.02,0,"PROB1",302
"PRSS56",0,0,0,"PRSS56",303
"PSG9",0,0,0,"PSG9",304
"PSKH2",0,0,0,"PSKH2",305
"PSMA7",5.77,5.77,0,"PSMA7",306
"PTCHD3",0,0,0,"PTCHD3",307
"PTPRN",0,0,0,"PTPRN",308
"RAET1G",0,0,0,"RAET1G",309
"RANBP3L",0,0,0,"RANBP3L",310
"RARB",0,0,0,"RARB",311
"RASA4B",0,0,0,"RASA4B",312
"RASL11B",0,0,0,"RASL11B",313
"RBM46",0,0,0,"RBM46",314
"RBP4",0,0,0,"RBP4",315
"RBPJL",0,0,0,"RBPJL",316
"RDH8",0,0,0,"RDH8",317
"REN",0,0,0,"REN",318
"REP15",0,0,0,"REP15",319
"RFX8",0.06,0.06,0,"RFX8",320
"RNF148",0,0,0,"RNF148",321
"RPE65",0,0,0,"RPE65",322
"RTEL1",0,0,0,"RTEL1",323
"RTL1",0,0,0,"RTL1",324
"RXFP2",0,0,0,"RXFP2",325
"SAA2.SAA4",0,0,0,"SAA2.SAA4",326
"SALL3",0,0,0,"SALL3",327
"SEMA3F",0,0,0,"SEMA3F",328
"SEMA6D",0,0,0,"SEMA6D",329
"SEMG2",0,0,0,"SEMG2",330
"SEPT5",0,0,0,"SEPT5",331
"SHCBP1L",0,0,0,"SHCBP1L",332
"SHH",0,0,0,"SHH",333
"SI",0,0,0,"SI",334
"SLC15A1",0,0,0,"SLC15A1",335
"SLC26A10",0,0,0,"SLC26A10",336
"SLC28A1",0,0,0,"SLC28A1",337
"SLC34A2",0,0,0,"SLC34A2",338
"SLC36A3",0,0,0,"SLC36A3",339
"SLC38A4",0,0,0,"SLC38A4",340
"SLC5A10",0,0,0,"SLC5A10",341
"SLC6A17",0,0,0,"SLC6A17",342
"SLCO1A2",0,0,0,"SLCO1A2",343
"SLCO6A1",0,0,0,"SLCO6A1",344
"SLFN14",0,0,0,"SLFN14",345
"SLITRK2",0,0,0,"SLITRK2",346
"SMR3A",0,0,0,"SMR3A",347
"SMTNL1",0,0,0,"SMTNL1",348
"SMTNL2",0,0,0,"SMTNL2",349
"SOWAHA",0,0,0,"SOWAHA",350
"SP7",0,0,0,"SP7",351
"SPACA5B",0,0,0,"SPACA5B",352
"SPIC",0,0,0,"SPIC",353
"SPRR2E",0,0,0,"SPRR2E",354
"SRPX2",0,0,0,"SRPX2",355
"SRXN1",0,0,0,"SRXN1",356
"SSTR1",0,0,0,"SSTR1",357
"SSX1",0,0,0,"SSX1",358
"SSX2",0,0,0,"SSX2",359
"SSX2B",0,0,0,"SSX2B",360
"ST8SIA2",0,0,0,"ST8SIA2",361
"ST8SIA3",0,0,0,"ST8SIA3",362
"SYT9",0,0,0,"SYT9",363
"TARM1",0,0,0,"TARM1",364
"TAS1R1",0,0,0,"TAS1R1",365
"TAS2R19",0,0,0,"TAS2R19",366
"TAS2R4",0,0,0,"TAS2R4",367
"TAS2R40",0,0,0,"TAS2R40",368
"TBX5",0,0,0,"TBX5",369
"TDRD5",0,0,0,"TDRD5",370
"TEX101",0,0,0,"TEX101",371
"TEX38",0,0,0,"TEX38",372
"TGM3",0,0,0,"TGM3",373
"TLX3",0,0,0,"TLX3",374
"TM6SF2",0,0,0,"TM6SF2",375
"TMEM202",0,0,0,"TMEM202",376
"TMEM211",0,0,0,"TMEM211",377
"TMEM95",0,0,0,"TMEM95",378
"TMPRSS11F",0,0,0,"TMPRSS11F",379
"TMPRSS4",0,0,0,"TMPRSS4",380
"TOPAZ1",0,0,0,"TOPAZ1",381
"TRPA1",0,0,0,"TRPA1",382
"TTC36",0,0,0,"TTC36",383
"TTC9B",0,0,0,"TTC9B",384
"UBQLN3",0,0,0,"UBQLN3",385
"UPK1B",0,0,0,"UPK1B",386
"URAD",0,0,0,"URAD",387
"USH1G",0,0,0,"USH1G",388
"USP17L7",0,0,0,"USP17L7",389
"VCX",0,0,0,"VCX",390
"VEGFC",0,0,0,"VEGFC",391
"VGLL1",0,0,0,"VGLL1",392
"WNT2",0,0,0,"WNT2",393
"XKR5",0.02,0.02,0,"XKR5",394
"XKR7",0,0,0,"XKR7",395
"ZIC5",0,0,0,"ZIC5",396
"ZNF280A",0,0,0,"ZNF280A",397
"ZNF728",0,0,0,"ZNF728",398
"ZNF99",0,0,0,"ZNF99",399
"ZNRF4",0,0,0,"ZNRF4",400
"ZWILCH",2.03,2.03,0,"ZWILCH",401
"RANBP3",2.81,2.82,-0.00999999999999979,"RANBP3",402
"RNF187",4.12,4.13,-0.00999999999999979,"RNF187",403
